window,energy,dwell,efficiency
0,0.3367719596520446,0.19418850500740026,0.5766172015935519
1,0.2140267992441159,0.14830673742592065,0.692935360807179
2,0.13912866674926497,0.08863323020123721,0.6370594371989806
3,0.35539040602297023,0.062141246102472576,0.17485347108939908
4,0.3606829462036586,0.09563500646836547,0.26514978722573274
5,0.3224759419246623,0.10055467405915025,0.3118207002600524
6,0.4573347230614981,0.1762479309908961,0.3853806021386613
7,0.32158468480144115,0.1776829716068278,0.5525231142810294
8,0.06483878168382204,0.19756532319575493,3.0470239841096087
9,0.05109318136233378,0.22313910199769146,4.367297075876769
10,0.23327054430008035,0.21060708466998734,0.9028447428354988
11,0.48006150088050226,0.2214840695592686,0.461366031449925
12,0.4044744620903554,0.25186565623490753,0.6226985379274044
13,0.4442452331955216,0.2712428965345437,0.6105701900781162
14,0.4623703901035041,0.25345356466309915,0.5481613226823328
15,0.42563410795458334,0.2709723759928817,0.6366321938610526
16,0.3710302265216068,0.23908378120968404,0.6443781774510581
17,0.3606372148807755,0.2146387092467935,0.5951651696795498
18,0.39611116891670667,0.2485098603204644,0.6273740297133179
19,0.42715498205136265,0.19828371022207245,0.4641961782194793
20,0.49169549587444417,0.2088773582112898,0.42481039570504053
21,0.5365752337140304,0.20108187866581304,0.3747505773542751
22,0.527246483476278,0.2164902959629039,0.41060548094027016
23,0.7848449078398378,0.25242815556276044,0.3216280732780269
24,0.8483356754955168,0.2535933720725013,0.29893045803417756
25,0.7492592269242186,0.2817567418625967,0.3760470764993186
26,0.761625529150106,0.23206845855633162,0.3047015227874852
27,0.898322625758145,0.21832626169671898,0.24303769649368165
28,0.8275723683848186,0.15285058817048428,0.18469754911021807
29,0.8698628158648531,0.16587871640188898,0.19069526062899475
30,0.7898546147068888,0.1608731465900479,0.2036743769983286
31,0.7509426343849522,0.09334905101839532,0.12430916388496235
32,0.7604892934992641,0.01724527872931421,0.022676556888388648
33,0.773976727171089,0.04402617613785229,0.05688307488660691
34,0.6324140042354844,0.12607908977742027,0.19936163480424374
35,0.3460724126827917,0.2405419110030917,0.6950623687940853
36,0.06219818053150671,0.259369591292732,4.170051095696317
37,0.02778417812913093,0.2543629858190075,9.154958038395932
38,0.0,0.19924404722183917,1992440472.2183917
39,0.011599918251065752,0.2149819833252427,18.53306004567619
40,0.13909541204177744,0.2584746928846067,1.8582546246827187
41,0.23239048129835777,0.23478802717456146,1.0103168845891493
42,0.4530633964787523,0.19210873723378274,0.4240217565234053
43,0.4733497357579843,0.181781468491352,0.384032048020178
44,0.48232237125612915,0.1532399617556424,0.31771273914743553
45,0.5751101637398199,0.1825614619863347,0.31743737715819925
46,0.5796384342437668,0.19840338265978616,0.3422881763946641
47,0.6221157063969205,0.17125288442477982,0.2752749731864028
48,0.5031354563371617,0.1654254495483861,0.3287890913508828
49,0.5429606510037644,0.1797764679141839,0.33110404510662605
50,0.6432137035607451,0.1741934208617243,0.27081733469036967
51,0.7080323660774915,0.25203698067013763,0.35596816291157557
52,0.6488837337211668,0.24584992645165388,0.37888132131758817
53,0.5803024712740183,0.261655226230778,0.4508945578178232
54,0.616147217069229,0.2289889599427577,0.3716465051888148
55,0.8217578998878219,0.25948965199317986,0.31577384531018854
56,0.8543225007434293,0.24660884924467943,0.2886601359571064
57,0.6878851681126124,0.2531908008187604,0.36807131846823576
58,0.7388441870216033,0.23771198759381024,0.3217349364551287
59,0.8484824001212936,0.2497806281606579,0.2943851611954619
60,0.9181071119085855,0.22285446942491366,0.24273253796865227
61,0.9599031130309197,0.15963443611870431,0.16630265485651366
62,0.7505858778795506,0.16142115707897,0.21506021071631176
63,0.7509022324004399,0.14714911024049468,0.19596307464754872
64,0.686430096689957,0.15683832708131376,0.2284840478509864
65,0.8166482807171511,0.1857526946817729,0.22745740001547035
66,0.8810102156705555,0.25485629906349416,0.28927734832290214
67,0.8962112158805933,0.264705035520122,0.2953601012798014
68,0.938698763579876,0.26913857724546847,0.2867145325624959
69,0.9564936677268698,0.30207759680669644,0.31581766504843606
70,0.9999999996905264,0.31460960138251887,0.31460960144842126
71,0.9723124562662496,0.2846878476022437,0.29279461117487504
72,0.9888802337389699,0.30611108567558,0.3095532453785777
73,0.9790588058318324,0.3546974055261609,0.3622840664699123
74,0.9394942764132381,0.3442414922612755,0.36641148420708325
75,0.9325120684091595,0.3241228733020152,0.3475803523060051
76,0.8684594417289209,0.28816344951809497,0.3318099103295381
77,0.8252462527676115,0.2673510462699845,0.32396517444457124
78,0.8544256365839614,0.2350400403901728,0.2750854261610954
79,0.7438888585353095,0.2258140080940412,0.3035587984316703
80,0.7153329457128522,0.2250865806190786,0.31465988241783915
81,0.6066198990696128,0.17997290545782638,0.29668150633401064
82,0.6421348997132127,0.16102651247390115,0.2507674205540632
83,0.74083047436406,0.13197520446337796,0.17814494545307813
84,0.7594038518603506,0.1798525323203532,0.23683384256752954
85,0.6606759335121309,0.17348996955164475,0.2625946560564398
86,0.7502254745756304,0.17153468269890262,0.22864417230442335
87,0.8161215668158386,0.16595791672574214,0.2033495050901606
